"","year","CITYGB","name_short","name","total_population_adm","total_population_city","non_agri_population_admin","non_agri_population_city","natural_growth_admin","natural_growth_city","AREA","PROVGB","EPROV","ECITY","CPROV","CCITY","CNTYGB","ECNTY","CCNTY","zhigong_number_adm","zhigong_number_city","total_wage_adm","total_wage_city","average_wage_adm","average_wage_city","gdp_adm","gdp_city","fdi_cont_adm","fdi_cont_city","fdi_real_adm","fdi_real_city","year_linear","post_t"
"3207-2000","2000","3207","连云","连云港",455.6,"    62.57",107.11,"    47.04",12.14,"    7.17",0.727,32,"Jiangsu","Lianyungang","江苏","连云港市",NA,NA,NA,32.25,15.57,"  258152","    148820",8005,"    9558",2911337,1033104,10202,7288,4770,2801,8,TRUE
"3207-2001","2001","3207","连云","连云港",459.64,"63.86",120.67,"52.15",4.5,"2.67",0.727,32,"Jiangsu","Lianyungang","江苏","连云港市",NA,NA,NA,30.07,14.25,"270053","158477",8980.81,"11121.19",3158201,1129729,10113,8242,5781,4119,9,TRUE
"3207-2002","2002","3207","连云","连云港",464.03,"64.74",127.08,"53.62",7.56,"6.34",0.727,32,"Jiangsu","Lianyungang","江苏","连云港市",NA,NA,NA,28.2,13.7,"284157","171424",10076.49,"12512.7",3501518,1284788,19677,14016,10009,6744,10,TRUE
"3207-2003","2003","3207","连云","连云港",467.83,"65.63",172.49,"55.17",6.04,"3.13",0.727,32,"Jiangsu","Lianyungang","江苏","连云港市",NA,NA,NA,27.19,13.32,"306213","189115",11261.97,"14197.82",3449236,1554353,50863,30728,21240,13920,11,TRUE
"3207-2004","2004","3207","连云","连云港",468.81,"66.62",172.49,"55.17",9.02,"7.4",0.727,32,"Jiangsu","Lianyungang","江苏","连云港市",NA,NA,NA,26.88,13.02,"341769","213113",12714.62,"16368.13",4163600,1937500,69075,40889,24659,10390,12,TRUE
"3208-1994","1994","3208","淮阴","淮阴",1021.16,"45.66",123.73,"26.09",5,"3",0.967,32,"Jiangsu","Huaiyin","江苏","淮阴市",NA,NA,NA,NA,NA,NA,NA,NA,NA,2272739,324047,3046,1268,2112,716,1,FALSE
"3208-1995","1995","3208","淮阴","淮阴",1030.18,"47.03",130.08,"27.30",6.01,"9.85",0.967,32,"Jiangsu","Huaiyin","江苏","淮阴市",NA,NA,NA,82,16,"332528","86668",4073,"5403",2770664,377105,9680,6189,3870,1618,3,FALSE
"3208-1996","1996","3208","淮阴","淮阴",489.63,"48.68",82.3,"28.93",5.12,"9.30",0.967,32,"Jiangsu","Huaiyin","江苏","淮阴市",NA,NA,NA,49,16,"224669","93963",4647,"5928",1732288,409446,4490,3874,934,335,4,FALSE
"3208-1997","1997","3208","淮阴","淮阴",495,"50.56",86.25,"30.93",2.82,"2.69",0.967,32,"Jiangsu","Huaiyin","江苏","淮阴市",NA,NA,NA,49.07,15.95,"244749","99942",4988,"6266",1965801,490303,858,670,4100,3631,5,FALSE
"3208-1998","1998","3208","淮阴","淮阴",498.98,"52.18",88.28,"32.09",5.29,"6.23",0.967,32,"Jiangsu","Huaiyin","江苏","淮阴市",NA,NA,NA,41.3,13.84,"253277","103482",6133,"7477",2197767,520180,805,300,5635,5263,6,TRUE
"3208-1999","1999","3208","淮阴","淮阴",502.48,"53.32",98.39,"33.57",4.48,"7.19",0.967,32,"Jiangsu","Huaiyin","江苏","淮阴市",NA,NA,NA,39,13,"275476","114014",7076,"8521",2527188,587378,1215,514,3639,3503,7,TRUE
"3209-1994","1994","3209","盐城","盐城",780.74,"139.7",134.46,"37.99",2.9,"3.9",1.447,32,"Jiangsu","Yancheng","江苏","盐城市",NA,NA,NA,NA,NA,NA,NA,NA,NA,2295737,599592,5423,1653,4998,2314,1,FALSE
"3209-1995","1995","3209","盐城","盐城",783.53,"142.17",138.42,"40.54",4.68,"10.68",1.447,32,"Jiangsu","Yancheng","江苏","盐城市",NA,NA,NA,73,21,"319577","110973",4429,"5284",3240721,816872,12700,4461,6047,1804,3,FALSE
"3209-1996","1996","3209","盐城","盐城",786.12,"56.93",143.93,"29.31",4.2,"8.57",1.447,32,"Jiangsu","Yancheng","江苏","盐城市",NA,NA,NA,74,16,"359964","100458",4922,"6271",3812003,477984,7152,1652,6646,2368,4,FALSE
"3209-1997","1997","3209","盐城","盐城",789.11,"58.28",151.3,"31.05",3.35,"6.51",1.447,32,"Jiangsu","Yancheng","江苏","盐城市",NA,NA,NA,72.69,15.33,"392143","105921",5395,"6909",4214760,491165,6538,1972,10979,3617,5,FALSE
"3209-1998","1998","3209","盐城","盐城",791.64,"59.88",156.06,"33.22",6.35,"4.66",1.447,32,"Jiangsu","Yancheng","江苏","盐城市",NA,NA,NA,70.73,14.43,"404690","105842",5722,"7335",4646832,535059,13725,1551,14184,2695,6,TRUE
"3209-1999","1999","3209","盐城","盐城",793.6,"61.06",171.13,"35.28",2.58,"7.09",1.447,32,"Jiangsu","Yancheng","江苏","盐城市",NA,NA,NA,61,13,"422366","111463",6977,"8620",5002400,588591,11594,1281,15957,2051,7,TRUE
"3209-2000","2000","3209","盐城","盐城",795.57,"    62.96",212.33,"    38.95",3.24,"    7.34",1.447,32,"Jiangsu","Yancheng","江苏","盐城市",NA,NA,NA,56.39,12.27,"  436410","    121675",7739,"    9916",5485925,696336,11720,403,19269,2394,8,TRUE
"3209-2001","2001","3209","盐城","盐城",795.56,"63.93",224.05,"40.47",1.9,"6.84",1.447,32,"Jiangsu","Yancheng","江苏","盐城市",NA,NA,NA,53.17,12.32,"457786","138077",8609.86,"11207.55",6032330,770747,18765,345,19377,1049,9,TRUE
"3209-2002","2002","3209","盐城","盐城",795.61,"64.97",237.1,"41.92",1.82,"6.59",1.447,32,"Jiangsu","Yancheng","江苏","盐城市",NA,NA,NA,48.2,11.37,"467120","140530",9691.29,"12359.72",6732616,844354,28075,4045,16603,3410,10,TRUE
"3209-2003","2003","3209","盐城","盐城",796.51,"66.33",269.62,"48.85",2.18,"3.79",1.447,32,"Jiangsu","Yancheng","江苏","盐城市",NA,NA,NA,45.78,10.84,"486108","147626",10618.35,"13618.63",7433900,1024700,35267,7763,23907,5044,11,TRUE
"3209-2004","2004","3209","盐城","盐城",798.28,"152.03",288.42,"78.46",2.4,"4.63",1.447,32,"Jiangsu","Yancheng","江苏","盐城市",NA,NA,NA,44.88,14.26,"536367","207129",11951.14,"14525.18",8713600,2416200,43565,12704,15389,5567,12,TRUE
"3210-1994","1994","3210","扬州","扬州",936.96,"47.07",171.57,"35.55",9.9,"5.1",0.636,32,"Jiangsu","Yangzhou","江苏","扬州市",NA,NA,NA,NA,NA,NA,NA,NA,NA,4704143,643502,41926,21531,13581,5691,1,FALSE
"3210-1995","1995","3210","扬州","扬州",938.81,"48.33",178.74,"36.55",3.15,"4.66",0.636,32,"Jiangsu","Yangzhou","江苏","扬州市",NA,NA,NA,116,24,"628639","163622",5458,"6849",6050218,832353,37899,10956,15867,5595,3,FALSE
"3210-1996","1996","3210","扬州","扬州",444.82,"49.81",102.28,"37.75",2.26,"5.34",0.636,32,"Jiangsu","Yangzhou","江苏","扬州市",NA,NA,NA,62,24,"396691","175226",6443,"7428",3511492,1001054,10414,6356,9985,5611,4,FALSE
"3210-1997","1997","3210","扬州","扬州",446.14,"50.82",105.62,"38.89",2.57,"5.60",0.636,32,"Jiangsu","Yangzhou","江苏","扬州市",NA,NA,NA,60.47,22.9,"412816","178945",6827,"7814",3766734,1080156,7706,5858,7371,6096,5,FALSE
"3210-1998","1998","3210","扬州","扬州",446.59,"51.35",107.85,"39.5",7.11,"6.26",0.636,32,"Jiangsu","Yangzhou","江苏","扬州市",NA,NA,NA,52.9,20.4,"405677","179241",7669,"8786",4015906,1153868,5894,4446,6829,4647,6,TRUE
"3210-1999","1999","3210","扬州","扬州",447.39,"52",113.86,"40.54",2.03,"4.09",0.636,32,"Jiangsu","Yangzhou","江苏","扬州市",NA,NA,NA,50,19,"427603","188343",8637,"10072",4269748,1229173,4248,1065,3922,1219,7,TRUE
"3210-2000","2000","3210","扬州","扬州",450.62,"    53.58",122.65,"    42.42",2.08,"    3.92",0.636,32,"Jiangsu","Yangzhou","江苏","扬州市",NA,NA,NA,46.06,17.75,"  448276","    205720",9732,"    11590",4721216,1372486,9222,3428,6654,3566,8,TRUE
"3210-2001","2001","3210","扬州","扬州",451.59,"109.66",127.06,"53.12",1.43,"1.44",0.636,32,"Jiangsu","Yangzhou","江苏","扬州市",NA,NA,NA,42.49,19.35,"457310","240216",10762.77,"12414.26",5054619,2325220,18371,13471,9968,6433,9,TRUE
"3210-2002","2002","3210","扬州","扬州",452.22,"110.76",130.48,"54.82",2.13,"1.7",0.636,32,"Jiangsu","Yangzhou","江苏","扬州市",NA,NA,NA,39.18,18.62,"470411","254609",12006.41,"13673.95",5589305,2567150,46298,30745,25580,16522,10,TRUE
"3210-2003","2003","3210","扬州","扬州",453.61,"112.52",170.58,"75.39",1.13,"1.59",0.636,32,"Jiangsu","Yangzhou","江苏","扬州市",NA,NA,NA,36.43,17.42,"502789","280391",13801.51,"16095.92",6472200,3001500,95095,66682,48097,29473,11,TRUE
"3210-2004","2004","3210","扬州","扬州",454.29,"113.85",172.96,"76.71",0.5,"2.01",0.636,32,"Jiangsu","Yangzhou","江苏","扬州市",NA,NA,NA,34.35,16.03,"540441","296894",15733.36,"18521.15",7881300,3649600,164138,108415,81398,51302,12,TRUE
"3211-1994","1994","3211","镇江","镇江",262.46,"51.76",80.44,"40.57",3.7,"5.2",0.366,32,"Jiangsu","Zhenjiang","江苏","镇江市",NA,NA,NA,NA,NA,NA,NA,NA,NA,2205348,681323,22562,7754,17343,5391,1,FALSE
"3211-1995","1995","3211","镇江","镇江",263.27,"52.46",83.76,"41.73",3.08,"5.00",0.366,32,"Jiangsu","Zhenjiang","江苏","镇江市",NA,NA,NA,46,24,"271932","154858",6019,"6493",2858627,855401,100520,83561,16484,4072,3,FALSE
"3211-1996","1996","3211","镇江","镇江",264.8,"54.25",87.22,"43.72",3.44,"7.54",0.366,32,"Jiangsu","Zhenjiang","江苏","镇江市",NA,NA,NA,45,23,"296904","165319",6669,"7147",3351073,966222,48856,29887,18983,4239,4,FALSE
"3211-1997","1997","3211","镇江","镇江",265.41,"58.15",90.21,"45.46",2.5,"6.90",0.366,32,"Jiangsu","Zhenjiang","江苏","镇江市",NA,NA,NA,43.34,22.73,"310088","170810",7155,"7515",3605427,1099984,182648,163148,44176,30025,5,FALSE
"3211-1998","1998","3211","镇江","镇江",265.64,"59.27",91.92,"47",6.92,"4.97",0.366,32,"Jiangsu","Zhenjiang","江苏","镇江市",NA,NA,NA,38.01,19.15,"311082","171366",8184,"8949",3905572,1197497,28044,18542,74655,60658,6,TRUE
"3211-1999","1999","3211","镇江","镇江",266.17,"61.14",97.06,"50.17",2.5,"7.55",0.366,32,"Jiangsu","Zhenjiang","江苏","镇江市",NA,NA,NA,36,18,"335504","189387",9294,"10366",4165149,1302152,29414,16060,50771,45257,7,TRUE
"3211-2000","2000","3211","镇江","镇江",266.67,"    62.54",100.86,"    51.87",0.81,"    3.33",0.366,32,"Jiangsu","Zhenjiang","江苏","镇江市",NA,NA,NA,34.65,17.51,"  356074","    203273",10276,"    11609",4520250,1447545,39455,12784,28925,21804,8,TRUE
"3211-2001","2001","3211","镇江","镇江",266.58,"62.82",102.65,"52.64",2.03,"3.39",0.366,32,"Jiangsu","Zhenjiang","江苏","镇江市",NA,NA,NA,32.43,16.49,"380815","223109",11742.68,"13529.96",5026584,1648822,108417,39354,32637,19594,9,TRUE
"3211-2002","2002","3211","镇江","镇江",267.13,"100.04",104.96,"59.73",1.78,"1.76",0.366,32,"Jiangsu","Zhenjiang","江苏","镇江市",NA,NA,NA,30.69,18.41,"404976","269700",13195.7,"14649.65",5608973,2464483,104070,43694,50095,21652,10,TRUE
"3211-2003","2003","3211","镇江","镇江",267.19,"100.51",117.48,"63.74",0.88,"1.24",0.366,32,"Jiangsu","Zhenjiang","江苏","镇江市",NA,NA,NA,29.49,17.39,"450122","294223",15263.55,"16919.09",6405100,2839200,175381,58802,80552,27152,11,TRUE
"3211-2004","2004","3211","镇江","镇江",267.21,"101.36",110.69,"63.67",-0.71,"1.18",0.366,32,"Jiangsu","Zhenjiang","江苏","镇江市",NA,NA,NA,29.59,17.21,"514361","335957",17382.93,"19521.03",7811600,3531300,268110,116068,60601,31805,12,TRUE
"3212-1996","1996","3212","泰州","泰州",496.28,"27.37",83.96,"17.44",3.26,"4.17",0.556,32,"Jiangsu","Taizhou","江苏","泰州市",NA,NA,NA,53,11,"266849","60539",5066,"5793",2936454,529892,18508,1083,8408,2094,4,FALSE
"3212-1997","1997","3212","泰州","泰州",496.83,"58.05",86.9,"21.08",1.58,"1.99",0.556,32,"Jiangsu","Taizhou","江苏","泰州市",NA,NA,NA,52.91,13.12,"289225","81394",5466,"6204",3177639,848274,9225,4661,9639,4469,5,FALSE
"3212-1998","1998","3212","泰州","泰州",498.56,"58.8",89.02,"22",6.88,"6.96",0.556,32,"Jiangsu","Taizhou","江苏","泰州市",NA,NA,NA,44.51,11.89,"284426","83017",6390,"6982",3420817,935371,10323,2177,9814,3397,6,TRUE
"3212-1999","1999","3212","泰州","泰州",501.26,"59.5",101.25,"24.02",1.88,"2.55",0.556,32,"Jiangsu","Taizhou","江苏","泰州市",NA,NA,NA,42,11,"297968","88254",7042,"7783",3689193,1013823,11631,1109,7547,2103,7,TRUE
"3212-2000","2000","3212","泰州","泰州",501.52,"    59.92",120.31,"    29.11",1.54,"    0.69",0.556,32,"Jiangsu","Taizhou","江苏","泰州市",NA,NA,NA,38.88,10.32,"  303929","    89873",7817,"    8709",4052459,1125554,17646,6106,10196,2989,8,TRUE
"3212-2001","2001","3212","泰州","泰州",503.1,"60.57",125.21,"30.37",1.95,"1.43",0.556,32,"Jiangsu","Taizhou","江苏","泰州市",NA,NA,NA,35.67,9.78,"323261","100333",9062.55,"10259",4499734,1239651,25571,12095,12071,4358,9,TRUE
"3212-2002","2002","3212","泰州","泰州",504,"61.31",129.14,"31.23",1.42,"1.36",0.556,32,"Jiangsu","Taizhou","江苏","泰州市",NA,NA,NA,34.01,9.42,"342057","108565",10057.54,"11524.95",5046038,1411975,31225,13118,18060,7780,10,TRUE
"3212-2003","2003","3212","泰州","泰州",503.66,"62.29",135.52,"32.75",0.96,"0.78",0.556,32,"Jiangsu","Taizhou","江苏","泰州市",NA,NA,NA,31.77,8.91,"362917","117098",11423.26,"13142.31",5800400,1607800,47966,18595,30269,13548,11,TRUE
"3212-2004","2004","3212","泰州","泰州",502.77,"62.82",135.52,"32.75",-0.04,"—0.55",0.556,32,"Jiangsu","Taizhou","江苏","泰州市",NA,NA,NA,30.55,8.85,"402955","133633",13190.02,"15099.77",7052000,1980800,71213,29144,41472,13450,12,TRUE
"3213-1996","1996","3213","宿迁","宿迁",480.83,"24.71",48.36,"11.39",6.34,"8.75",0.835,32,"Jiangsu","Suqian","江苏","宿迁市",NA,NA,NA,30,4,"126593","15213",4325,"4168",1248807,95406,NA,NA,407,6,4,FALSE
"3213-1997","1997","3213","宿迁","宿迁",488.83,"23.31",50.36,"11.10",9.59,"5.87",0.835,32,"Jiangsu","Suqian","江苏","宿迁市",NA,NA,NA,29.49,3.92,"135436","19341",4593,"4934",1446946,111455,NA,NA,NA,NA,5,FALSE
"3213-1998","1998","3213","宿迁","宿迁",494.26,"23.7",53.14,"11.54",4.83,"3.87",0.835,32,"Jiangsu","Suqian","江苏","宿迁市",NA,NA,NA,24.2,3.47,"136036","20844",5621,"6007",1654626,134304,1475,163,501,459,6,TRUE
"3213-1999","1999","3213","宿迁","宿迁",499.73,"24.31",110.24,"18.45",6.07,"9.53",0.835,32,"Jiangsu","Suqian","江苏","宿迁市",NA,NA,NA,23,3,"145338","22649",6190,"6884",1820013,167890,2421,926,491,242,7,TRUE
"3213-2000","2000","3213","宿迁","宿迁",505.24,"    24.44",121.51,"    19.39",4.26,"    4.85",0.835,32,"Jiangsu","Suqian","江苏","宿迁市",NA,NA,NA,21.88,2.98,"  149075","    23766",6813,"    7975",2006512,199586,1077,522,849,425,8,TRUE
"3213-2001","2001","3213","宿迁","宿迁",510.84,"25.61",140.54,"23.22",2.98,"5.4",0.835,32,"Jiangsu","Suqian","江苏","宿迁市",NA,NA,NA,18.41,2.35,"146179","24328",7940.2,"10352.34",2231631,213010,2782,2196,1030,275,9,TRUE
"3213-2002","2002","3213","宿迁","宿迁",513,"26",147.19,"23.57",3.76,"6.21",0.835,32,"Jiangsu","Suqian","江苏","宿迁市",NA,NA,NA,16.76,2.36,"145824","26769",8700.72,"11342.8",2470292,245616,3216,990,1297,231,10,TRUE
"3213-2003","2003","3213","宿迁","宿迁",517.26,"28.65",135.92,"28.6",7.96,"8.6",0.835,32,"Jiangsu","Suqian","江苏","宿迁市",NA,NA,NA,17.29,2.47,"160556","30856",9286.06,"12492.31",2781900,285300,14515,8263,1970,392,11,TRUE
"3213-2004","2004","3213","宿迁","宿迁",521.4,"152.89",198.32,"107",8.17,"9.51",0.835,32,"Jiangsu","Suqian","江苏","宿迁市",NA,NA,NA,16.18,5.57,"167297","68572",10339.74,"12310.95",3355900,1242000,12837,8597,1582,674,12,TRUE
"3301-1994","1994","3301","杭州","杭州",592.93,"141.27",186.5,"118.43",4.8,"2",1.566,33,"Zhejiang","Hangzhou","浙江","杭州市",NA,NA,NA,126.99,79.44,"772236","521669",6117.69,"6596.72",5855239,2731046,111913,74057,41998,26275,1,FALSE
"3301-1995","1995","3301","杭州","杭州",597.96,"143.52",191.43,"121.38",4.43,"1.71",1.566,33,"Zhejiang","Hangzhou","浙江","杭州市",NA,NA,NA,124,79,"890488","615449",7156,"7787",7620055,3600744,91207,54780,42659,28863,3,FALSE
"3301-1996","1996","3301","杭州","杭州",603.22,"166.73",196.68,"128.76",4.71,"2.34",1.566,33,"Zhejiang","Hangzhou","浙江","杭州市",NA,NA,NA,122,78,"973592","683244",7966,"8751",9066133,4565711,70982,50561,53651,41668,4,FALSE
"3301-1997","1997","3301","杭州","杭州",607.96,"169.29",204.39,"131.76",3.92,"2.17",1.566,33,"Zhejiang","Hangzhou","浙江","杭州市",NA,NA,NA,117,76,"1073862","762956",9178,"10039",10363299,5238807,27888,19107,41187,25243,5,FALSE
"3301-1998","1998","3301","杭州","杭州",611.64,"171.89",210.52,"134.61",6.25,"5.28",1.566,33,"Zhejiang","Hangzhou","浙江","杭州市",NA,NA,NA,105.42,69.78,"1112717","803264",10555,"11511",11348899,5687426,51400,28619,38425,26353,6,TRUE
"3301-1999","1999","3301","杭州","杭州",616.05,"175.27",219.05,"139.29",3.62,"3.2",1.566,33,"Zhejiang","Hangzhou","浙江","杭州市",NA,NA,NA,97,65,"1180947","864418",12187,"13225",12252795,6049378,56742,34595,42025,29645,7,TRUE
"3301-2000","2000","3301","杭州","杭州",621.58,"    179.18",226.99,"    143.69",3.57,"    2.29",1.566,33,"Zhejiang","Hangzhou","浙江","杭州市",NA,NA,NA,88.56,61.16,"  1267524","    949872",14313,"    15531",13825616,6778498,64548,42383,43093,27337,8,TRUE
"3301-2001","2001","3301","杭州","杭州",629.14,"379.49",237.77,"193.26",2.9,"3.02",1.566,33,"Zhejiang","Hangzhou","浙江","杭州市",NA,NA,NA,80.88,67.49,"1481660","1279750",18319.24,"18962.07",15680138,11951694,103023,95907,50324,46237,9,TRUE
"3301-2002","2002","3301","杭州","杭州",636.81,"387.01",252.02,"205.98",2.7,"3.42",1.566,33,"Zhejiang","Hangzhou","浙江","杭州市",NA,NA,NA,75.39,63.28,"1614676","1398243",21417.64,"22096.13",17818302,13668231,96720,81721,52186,46447,10,TRUE
"3301-2003","2003","3301","杭州","杭州",642.78,"393.19",263.67,"216.13",2.31,"2.01",1.566,33,"Zhejiang","Hangzhou","浙江","杭州市",NA,NA,NA,75.72,63.35,"1867776","1617477",24666.88,"25532.39",20997744,16177737,200104,165994,100850,83875,11,TRUE
"3301-2004","2004","3301","杭州","杭州",651.68,"401.59",282.58,"233.08",4,"3.88",1.566,33,"Zhejiang","Hangzhou","浙江","杭州市",NA,NA,NA,75.73,64.19,"2187934","1921140",28891.25,"29928.96",25150000,19494054,307746,251214,140982,117058,12,TRUE
"3302-1994","1994","3302","宁波","宁波",522.85,"113.15",112.68,"61.2",4.8,"3.2",0.777,33,"Zhejiang","Ningbo","浙江","宁波市",NA,NA,NA,79.56,38.64,"470311","251238",6050.57,"6542.66",4635058,1686883,84159,52190,37406,26176,1,FALSE
"3302-1995","1995","3302","宁波","宁波",526.2,"114.23",115.3,"63.21",5.13,"2.65",0.777,33,"Zhejiang","Ningbo","浙江","宁波市",NA,NA,NA,79,39,"573191","285451",7361,"7426",6376278,2202248,114630,88384,39909,27022,3,FALSE
"3302-1996","1996","3302","宁波","宁波",530.08,"116.20",119.51,"65.37",5.23,"4.58",0.777,33,"Zhejiang","Ningbo","浙江","宁波市",NA,NA,NA,79,39,"660757","364050",8507,"9422",7958607,2946081,87839,61218,50162,31080,4,FALSE
"3302-1997","1997","3302","宁波","宁波",533.31,"117.87",123.5,"67.53",4.47,"2.62",0.777,33,"Zhejiang","Ningbo","浙江","宁波市",NA,NA,NA,77,38,"744910","413199",9674,"10874",8974306,3291683,60335,44613,55408,43971,5,FALSE
"3302-1998","1998","3302","宁波","宁波",535.27,"119.69",130.48,"70.46",6.12,"5.83",0.777,33,"Zhejiang","Ningbo","浙江","宁波市",NA,NA,NA,67.87,34.4,"768934","431166",11330,"12534",9734402,3525856,51198,34263,50329,35591,6,TRUE
"3302-1999","1999","3302","宁波","宁波",538.41,"121.99",137.12,"74.42",3.78,"3.57",0.777,33,"Zhejiang","Ningbo","浙江","宁波市",NA,NA,NA,62,33,"824034","475097",13259,"14494",10417362,3762087,57356,35938,39956,26272,7,TRUE
"3302-2000","2000","3302","宁波","宁波",540.94,"    124.05",142.03,"    77.22",3.1,"    3.49",0.777,33,"Zhejiang","Ningbo","浙江","宁波市",NA,NA,NA,59.81,32.9,"    927748","    550856",15512,"    16743",11757538,4360625,95151,66278,62186,45778,8,TRUE
"3302-2001","2001","3302","宁波","宁波",543.35,"126.13",150.86,"80.69",1.7,"2.16",0.777,33,"Zhejiang","Ningbo","浙江","宁波市",NA,NA,NA,55.53,31.79,"1059989","633904",19088.58,"19940.36",13126854,5813159,195519,140006,87446,57057,9,TRUE
"3302-2002","2002","3302","宁波","宁波",546.19,"203.41",162.43,"86.43",1.66,"1.6",0.777,33,"Zhejiang","Ningbo","浙江","宁波市",NA,NA,NA,54.71,30.96,"1155660","693877",21123.38,"22412.05",15003435,6656457,320024,208373,124696,75842,10,TRUE
"3302-2003","2003","3302","宁波","宁波",549.07,"206.91",168.81,"109.95",1.33,"1.24",0.777,33,"Zhejiang","Ningbo","浙江","宁波市",NA,NA,NA,59.88,37.22,"1418635","942400",23691.3,"25319.72",17868542,10250306,344382,227643,172727,116787,11,TRUE
"3302-2004","2004","3302","宁波","宁波",552.69,"210.45",176.19,"116.27",2.29,"2.28",0.777,33,"Zhejiang","Ningbo","浙江","宁波市",NA,NA,NA,65.1,40.32,"1681086","1103466",25823.13,"27367.71",21580377,12600292,413633,271892,210332,139493,12,TRUE
"3303-1994","1994","3303","温州","温州",692.4,"112.25",107.53,"44.97",8.6,"6.4",1.026,33,"Zhejiang","Wenzhou","浙江","温州市",NA,NA,NA,55.22,26.99,"255316","126739",4946.07,"5045.34",2967801,1104873,12497,7700,6118,4207,1,FALSE
"3303-1995","1995","3303","温州","温州",697.89,"113.30",111.24,"46.19",7.59,"5.29",1.026,33,"Zhejiang","Wenzhou","浙江","温州市",NA,NA,NA,55,27,"308270","156744",6040,"6285",4035891,1477233,11449,8550,7351,5121,3,FALSE
"3303-1996","1996","3303","温州","温州",704.37,"114.29",114.31,"47.74",9.23,"6.21",1.026,33,"Zhejiang","Wenzhou","浙江","温州市",NA,NA,NA,56,27,"372862","189072",7054,"7394",5100892,1686504,16387,12167,7896,5747,4,FALSE
"3303-1997","1997","3303","温州","温州",708.35,"115.28",119.76,"49.74",7.45,"6.10",1.026,33,"Zhejiang","Wenzhou","浙江","温州市",NA,NA,NA,53.39,26.41,"427830","218705",8013,"8281",6058218,2320398,7587,4750,6025,3889,5,FALSE
"3303-1998","1998","3303","温州","温州",718.04,"116.48",123.9,"51.25",4.68,"5.85",1.026,33,"Zhejiang","Wenzhou","浙江","温州市",NA,NA,NA,46.83,22.68,"473227","243510",10105,"10737",6771891,2613322,24439,20973,3702,2648,6,TRUE
"3303-1999","1999","3303","温州","温州",721.62,"117.12",127.16,"52.09",10.08,"5.57",1.026,33,"Zhejiang","Wenzhou","浙江","温州市",NA,NA,NA,48,23,"537212","269052",11145,"11662",7331880,2908036,4644,3408,5662,4742,7,TRUE
"3303-2000","2000","3303","温州","温州",736.32,"    119.23",130.93,"    53.89",20.78,"    10.87",1.026,33,"Zhejiang","Wenzhou","浙江","温州市",NA,NA,NA,48.37,22.96,"    604471","    309554",12497,"    13482",8281243,3320541,6706,4540,7202,5511,8,TRUE
"3303-2001","2001","3303","温州","温州",738.81,"131.36",134.13,"56.34",7.52,"7.06",1.026,33,"Zhejiang","Wenzhou","浙江","温州市",NA,NA,NA,49.74,22.56,"754734","364388",15173.58,"16151.95",9320751,3883859,7246,5053,5510,3994,9,TRUE
"3303-2002","2002","3303","温州","温州",739.12,"132.06",138.26,"57.34",6.78,"4.99",1.026,33,"Zhejiang","Wenzhou","浙江","温州市",NA,NA,NA,50.68,23.48,"873830","429242",17242.11,"18281.18",10609664,4596047,11730,8640,8023,6492,10,TRUE
"3303-2003","2003","3303","温州","温州",742.28,"134.65",142.95,"59.48",9.31,"7.53",1.026,33,"Zhejiang","Wenzhou","浙江","温州市",NA,NA,NA,58.02,29.36,"1097329","584686",18912.94,"19914.37",12264424,5305251,29528,19057,11969,7603,11,TRUE
"3303-2004","2004","3303","温州","温州",746.19,"137.14",148.15,"61.77",8.31,"7.28",1.026,33,"Zhejiang","Wenzhou","浙江","温州市",NA,NA,NA,74.3,31.55,"1454515","669421",19576.24,"21217.78",14025726,6223579,50620,29906,20916,13965,12,TRUE
"3304-1994","1994","3304","嘉兴","嘉兴",324.46,"76.05",63.96,"22.76",5.4,"5.5",0.371,33,"Zhejiang","Jiaxing","浙江","嘉兴市",NA,NA,NA,41.72,15.09,"221922","84228",5347.52,"5615.2",2559932,562348,30225,11647,4983,1504,1,FALSE
"3304-1995","1995","3304","嘉兴","嘉兴",326.39,"76.72",66.81,"24.01",5.09,"5.17",0.371,33,"Zhejiang","Jiaxing","浙江","嘉兴市",NA,NA,NA,42,15,"264438","103917",6229,"6726",3212716,712274,36010,13138,8019,4444,3,FALSE
"3304-1996","1996","3304","嘉兴","嘉兴",328.05,"77.31",68.2,"24.50",4.43,"4.28",0.371,33,"Zhejiang","Jiaxing","浙江","嘉兴市",NA,NA,NA,41,15,"281420","106849",6804,"7249",3816972,845567,46169,24466,12158,6325,4,FALSE
"3304-1997","1997","3304","嘉兴","嘉兴",329.29,"77.76",70.35,"25.28",3.17,"3.03",0.371,33,"Zhejiang","Jiaxing","浙江","嘉兴市",NA,NA,NA,40.1,14.31,"304829","113683",7602,"7944",4197460,925651,24303,14382,14780,7739,5,FALSE
"3304-1998","1998","3304","嘉兴","嘉兴",329.91,"78.06",73.21,"26.15",7.25,"6.58",0.371,33,"Zhejiang","Jiaxing","浙江","嘉兴市",NA,NA,NA,34.97,12.29,"302501","111053",8650,"9036",4450356,983466,14683,5326,12128,8624,6,TRUE
"3304-1999","1999","3304","嘉兴","嘉兴",330.19,"78.36",76.18,"27.52",1.19,"1.62",0.371,33,"Zhejiang","Jiaxing","浙江","嘉兴市",NA,NA,NA,32,12,"318680","119599",9956,"10400",4718859,1066858,21279,6823,12300,5337,7,TRUE
